,procedure,total_sdc,fixed_newton,total_gmres,mean_newton_res
0,sdc_newton,10000,1,99749,0.9999923178392084
1,sdc_newton,10000,2,190000,0.17705663115622333
2,sdc_newton,10000,3,299999,0.0068093965079105145
3,sdc_newton,10000,4,410002,1.0854985319743393e-05
4,sdc_newton,13,5,688,3.2948337220954743e-10
5,sdc_newton,13,6,688,5.25050088876574e-14
6,sdc_newton,13,7,688,5.25050088876574e-14
7,sdc_newton,13,8,688,5.25050088876574e-14
8,sdc_newton,13,9,688,5.25050088876574e-14
9,sdc_newton,13,10,688,5.25050088876574e-14
10,sdc_newton,13,11,688,5.25050088876574e-14
11,sdc_newton,13,12,688,5.25050088876574e-14
12,sdc_newton,13,13,688,5.25050088876574e-14
13,sdc_newton,13,14,688,5.25050088876574e-14
14,sdc_newton,13,15,688,5.25050088876574e-14
15,sdc_newton,13,16,688,5.25050088876574e-14
16,sdc_newton,13,17,688,5.25050088876574e-14
17,sdc_newton,13,18,688,5.25050088876574e-14
18,sdc_newton,13,19,688,5.25050088876574e-14
19,sdc_newton,13,20,688,5.25050088876574e-14
